index,movie_name,movie_id,city_id
0,Jurassic World: Fallen Kingdom,ET00058799,MUMBAI
1,Veere Di Wedding,ET00042975,MUMBAI
2,Farzand,ET00072484,MUMBAI
3,Parmanu: The Story of Pokhran,ET00058781,MUMBAI
4,Kaala,ET00057686,MUMBAI
5,Raazi,ET00059201,MUMBAI
6,Bucket List,ET00069206,MUMBAI
7,Race 3,ET00063107,MUMBAI
8,Deadpool 2,ET00049430,MUMBAI
9,102 Not Out,ET00037296,MUMBAI
10,Carry On Jatta 2 ,ET00020972,MUMBAI
11,AA BB KK,ET00076165,MUMBAI
12,Bhavesh Joshi Superhero,ET00043575,MUMBAI
13,Solo: A Star Wars Story,ET00068245,MUMBAI
14,Avengers: Infinity War,ET00073462,MUMBAI
15,Book Club,ET00071873,MUMBAI
16,Blue Planet II: One Ocean & The Deep,ET00074653,MUMBAI
17,Maska,ET00074828,MUMBAI
18,Bioscopewala,ET00074880,MUMBAI
19,Krina,ET00076854,MUMBAI
20,Pimpal,ET00076877,MUMBAI
21,Fera Feri Hera Feri,ET00073720,MUMBAI
22,Uma,ET00063261,MUMBAI
23,Lagi Toh Chhagi,ET00075511,MUMBAI
24,Oxygen,ET00075099,MUMBAI
25,Peter Rabbit,ET00062580,MUMBAI
26,Ashtavakra,ET00076003,MUMBAI
27,Padmaavat,ET00046516,MUMBAI
28,Dilwale Dulhania Le Jayenge,ET00000652,MUMBAI
29,Trushart ,ET00077180,MUMBAI
30,Land 1857,ET00077178,MUMBAI
31,Sugna 2,ET00070242,MUMBAI
32,Veere Di Wedding (Exclusively For Women),ET00076785,MUMBAI
33,Tridev Pyar Ki Jung,ET00072869,MUMBAI
0,Veere Di Wedding,ET00042975,NCR
1,Jurassic World: Fallen Kingdom,ET00058799,NCR
2,Carry On Jatta 2 ,ET00020972,NCR
3,Parmanu: The Story of Pokhran,ET00058781,NCR
4,Raazi,ET00059201,NCR
5,Kaala,ET00057686,NCR
6,Race 3,ET00063107,NCR
7,Deadpool 2,ET00049430,NCR
8,102 Not Out,ET00037296,NCR
9,Avengers: Infinity War,ET00073462,NCR
10,Solo: A Star Wars Story,ET00068245,NCR
11,Haami,ET00071832,NCR
12,Blue Planet II: One Ocean & The Deep,ET00074653,NCR
13,Uma,ET00063261,NCR
14,Peter Rabbit,ET00062580,NCR
15,Veere Di Wedding (Exclusively For Women),ET00076785,NCR
16,Ferdinand,ET00064155,NCR
17,Krina,ET00076854,NCR
18,Coco,ET00052365,NCR
19,Sanju,ET00063643,NCR
0,Kaala,ET00057686,BANG
1,Jurassic World: Fallen Kingdom,ET00058799,BANG
2,Veere Di Wedding,ET00042975,BANG
3,Parmanu: The Story of Pokhran,ET00058781,BANG
4,Raambo 2,ET00075633,BANG
5,Raazi,ET00059201,BANG
6,Mahanati,ET00054544,BANG
7,Deadpool 2,ET00049430,BANG
8,Avengers: Infinity War,ET00073462,BANG
9,Irumbuthirai,ET00068334,BANG
10,Abhimanyudu,ET00068740,BANG
11,102 Not Out,ET00037296,BANG
12,Naa Peru Surya Naa Illu India,ET00055830,BANG
13,Tagaru,ET00049201,BANG
14,Race 3,ET00063107,BANG
15,Appe Teacher,ET00072847,BANG
16,Blue Planet II: One Ocean & The Deep,ET00074653,BANG
17,Gultoo,ET00069612,BANG
18,B. Tech,ET00074103,BANG
19,Aravindante Athidhikal,ET00073895,BANG
20,Bharat Ane Nenu,ET00059033,BANG
21,2nd Half,ET00075749,BANG
22,Carry On Jatta 2 ,ET00020972,BANG
23,Shathaya Gathaya,ET00076087,BANG
24,Paddington 2,ET00057858,BANG
25,Wonder,ET00057695,BANG
26,Peter Rabbit,ET00062580,BANG
27,Raama Dhanya,ET00076007,BANG
28,Uma,ET00063261,BANG
29,Iruttu Araiyil Murattu Kuththu,ET00070719,BANG
30,Uncle,ET00064072,BANG
31,Shivu Paru,ET00075452,BANG
32,Coco,ET00052365,BANG
33,Rangasthalam,ET00058961,BANG
34,Neerdose,ET00022668,BANG
35,Hebbet Ramakka,ET00074491,BANG
36,Adarsha,ET00076769,BANG
37,Naa Nuvve,ET00068795,BANG
0,Kaala,ET00057686,HYD
1,Jurassic World: Fallen Kingdom,ET00058799,HYD
2,Abhimanyudu,ET00068740,HYD
3,Mahanati,ET00054544,HYD
4,Race 3,ET00063107,HYD
5,Veere Di Wedding,ET00042975,HYD
6,Parmanu: The Story of Pokhran,ET00058781,HYD
7,Ammammagarillu,ET00070902,HYD
8,Raazi,ET00059201,HYD
9,Deadpool 2,ET00049430,HYD
10,Nela Ticket,ET00071700,HYD
11,Bharat Ane Nenu,ET00059033,HYD
12,Avengers: Infinity War,ET00073462,HYD
13,Rajugadu,ET00075146,HYD
14,Rangasthalam,ET00058961,HYD
15,102 Not Out,ET00037296,HYD
16,Officer,ET00071682,HYD
17,Blue Planet II: One Ocean & The Deep,ET00074653,HYD
18, A Quiet Place,ET00065343,HYD
19,Sammohanam,ET00071484,HYD
20,Peter Rabbit,ET00062580,HYD
21,Pakki Herogiri,ET00053412,HYD
22,Uma,ET00063261,HYD
23,Ferdinand,ET00064155,HYD
24,Jumanji: Welcome To The Jungle,ET00067940,HYD
25,Naa Nuvve,ET00068795,HYD
26,Krina,ET00076854,HYD
27,Best Lovers,ET00077126,HYD
0,Jurassic World: Fallen Kingdom,ET00058799,AHD
1,Veere Di Wedding,ET00042975,AHD
2,Parmanu: The Story of Pokhran,ET00058781,AHD
3,Kaala,ET00057686,AHD
4,Raazi,ET00059201,AHD
5,102 Not Out,ET00037296,AHD
6,Vandha Villas,ET00066887,AHD
7,Deadpool 2,ET00049430,AHD
8,Avengers: Infinity War,ET00073462,AHD
9,Fera Feri Hera Feri,ET00073720,AHD
10,Pagalpanti,ET00076703,AHD
11,Toh Lagi Sharat,ET00076209,AHD
12,Chal Man Jeetva Jaiye,ET00066642,AHD
13,Reva,ET00071702,AHD
14,Blue Planet II: One Ocean & The Deep,ET00074653,AHD
15,Patni Nachave Bhagwan Bachave,ET00077189,AHD
16,Rampage,ET00073752,AHD
0,Carry On Jatta 2 ,ET00020972,CHD
1,Veere Di Wedding,ET00042975,CHD
2,Jurassic World: Fallen Kingdom,ET00058799,CHD
3,Parmanu: The Story of Pokhran,ET00058781,CHD
4,Raazi,ET00059201,CHD
5,Kaala,ET00057686,CHD
6,Race 3,ET00063107,CHD
7,Avengers: Infinity War,ET00073462,CHD
8,102 Not Out,ET00037296,CHD
0,Kaala,ET00057686,CHEN
1,Jurassic World: Fallen Kingdom,ET00058799,CHEN
2,Nadigaiyar Thilagam - Mahanadi,ET00072797,CHEN
3,Irumbuthirai,ET00068334,CHEN
4,Mersal,ET00058691,CHEN
5,Bhaskar Oru Rascal,ET00063008,CHEN
6,Oru Kuppai Kathai,ET00076086,CHEN
7,Veere Di Wedding,ET00042975,CHEN
8,Iravukku Aayiram Kangal,ET00055256,CHEN
9,Deadpool 2,ET00049430,CHEN
10,Sema,ET00059477,CHEN
11,Raazi,ET00059201,CHEN
12,Parmanu: The Story of Pokhran,ET00058781,CHEN
13,Bharat Ennum Naan,ET00076544,CHEN
14,Avengers: Infinity War,ET00073462,CHEN
15,Kaththi,ET00023580,CHEN
16,Race 3,ET00063107,CHEN
17,Theri,ET00036069,CHEN
18,Goli Soda 2,ET00064168,CHEN
19,Peter Rabbit,ET00062580,CHEN
20,Bairavaa,ET00046078,CHEN
0,Farzand,ET00072484,PUNE
1,Jurassic World: Fallen Kingdom,ET00058799,PUNE
2,Parmanu: The Story of Pokhran,ET00058781,PUNE
3,Veere Di Wedding,ET00042975,PUNE
4,Kaala,ET00057686,PUNE
5,Raazi,ET00059201,PUNE
6,Bucket List,ET00069206,PUNE
7,Deadpool 2,ET00049430,PUNE
8,AA BB KK,ET00076165,PUNE
9,102 Not Out,ET00037296,PUNE
10,Avengers: Infinity War,ET00073462,PUNE
11,Carry On Jatta 2 ,ET00020972,PUNE
12,Maska,ET00074828,PUNE
13,Blue Planet II: One Ocean & The Deep,ET00074653,PUNE
14,Pimpal,ET00076877,PUNE
15,Mahanati,ET00054544,PUNE
16,Land 1857,ET00077178,PUNE
17,Lagi Toh Chhagi,ET00075511,PUNE
18,Trushart ,ET00077180,PUNE
19,Krina,ET00076854,PUNE
20,Pani Bani ,ET00077245,PUNE
21,Veere Di Wedding (Exclusively For Women),ET00076785,PUNE
0,Jurassic World: Fallen Kingdom,ET00058799,KOLK
1,Uma,ET00063261,KOLK
2,Haami,ET00071832,KOLK
3,Veere Di Wedding,ET00042975,KOLK
4,Parmanu: The Story of Pokhran,ET00058781,KOLK
5,Raazi,ET00059201,KOLK
6,Kaala,ET00057686,KOLK
7,Race 3,ET00063107,KOLK
8,Guptodhoner Sondhane,ET00071045,KOLK
9,102 Not Out,ET00037296,KOLK
10,Rainbow Jelly,ET00075016,KOLK
11,Deadpool 2,ET00049430,KOLK
12,Avengers: Infinity War,ET00073462,KOLK
13,Book Club,ET00071873,KOLK
14,Oxygen,ET00075099,KOLK
15,Rangeela,ET00065328,KOLK
16,Racket,ET00076181,KOLK
0,Jurassic World: Fallen Kingdom,ET00058799,KOCH
1,Kaala,ET00057686,KOCH
2,Aravindante Athidhikal,ET00073895,KOCH
3,Raazi,ET00059201,KOCH
4,Veere Di Wedding,ET00042975,KOCH
5,B. Tech,ET00074103,KOCH
6,Parmanu: The Story of Pokhran,ET00058781,KOCH
7,Ee.Ma.Yau,ET00064076,KOCH
8,Kuttanpillayude Sivarathri,ET00073894,KOCH
9,Deadpool 2,ET00049430,KOCH
10,Irumbuthirai,ET00068334,KOCH
11,Sudani from Nigeria,ET00070630,KOCH
12, A Quiet Place,ET00065343,KOCH
13,Uncle,ET00064072,KOCH
14,Avengers: Infinity War,ET00073462,KOCH
15,Marubhoomiyile Mazhathullikal,ET00073620,KOCH
16,Kaamuki,ET00074216,KOCH
17,Chanakayathanthram,ET00073409,KOCH
18,Sreehalli,ET00061494,KOCH
0,Carry On Jatta 2 ,ET00020972,ABOR
1,Jurassic World: Fallen Kingdom,ET00058799,ABOR
2,Kaala,ET00057686,ABOR
3,Veere Di Wedding,ET00042975,ABOR
0,Kaala,ET00057686,ACHM
1,Nela Ticket,ET00071700,ACHM
0,Kaala,ET00057686,ADIL
1,Jurassic World: Fallen Kingdom,ET00058799,ADIL
2,Nela Ticket,ET00071700,ADIL
0,Kaala,ET00057686,AGAR
1,Parmanu: The Story of Pokhran,ET00058781,AGAR
2,Veere Di Wedding,ET00042975,AGAR
3,Jurassic World: Fallen Kingdom,ET00058799,AGAR
4,Raazi,ET00059201,AGAR
0,Jurassic World: Fallen Kingdom,ET00058799,AGRA
1,Veere Di Wedding,ET00042975,AGRA
2,Parmanu: The Story of Pokhran,ET00058781,AGRA
3,Kaala,ET00057686,AGRA
4,Raazi,ET00059201,AGRA
5,Race 3,ET00063107,AGRA
6,Aatankvadi,ET00054871,AGRA
7,Son Of Sardaar,ET00010105,AGRA
8,Damru,ET00073773,AGRA
9,Jurassic City,ET00030557,AGRA
10,ACP Shiva,ET00057487,AGRA
11,Krina,ET00076854,AGRA
0,Carry On Jatta 2 ,ET00020972,AHMG
0,Jurassic World: Fallen Kingdom,ET00058799,AJMER
1,Veere Di Wedding,ET00042975,AJMER
2,Kaala,ET00057686,AJMER
3,Parmanu: The Story of Pokhran,ET00058781,AJMER
4,Sabse Badhkar Hum 3,ET00073785,AJMER
0,Abhimanyudu,ET00068740,AKVD
0,Farzand,ET00072484,AKLJ
1,Kaala,ET00057686,AKLJ
2,Jurassic World: Fallen Kingdom,ET00058799,AKLJ
0,Farzand,ET00072484,AKOL
1,Jurassic World: Fallen Kingdom,ET00058799,AKOL
2,Kaala,ET00057686,AKOL
3,Veere Di Wedding,ET00042975,AKOL
4,Parmanu: The Story of Pokhran,ET00058781,AKOL
5,AA BB KK,ET00076165,AKOL
6,Hansel Vs Gretel Mohini Pisachi 2,ET00041012,AKOL
7,Unch Bharari,ET00077018,AKOL
8,Ashtavakra,ET00076003,AKOL
9,Race 3,ET00063107,AKOL
0,Farzand,ET00072484,TKOT
0,Kaala,ET00057686,ALNI
0,Jurassic World: Fallen Kingdom,ET00058799,ALI
1,Veere Di Wedding,ET00042975,ALI
2,Race 3,ET00063107,ALI
3,Parmanu: The Story of Pokhran,ET00058781,ALI
4,Kaala,ET00057686,ALI
5,The Past,ET00073510,ALI
0,Abhimanyudu,ET00068740,ALGD
1,Kaala,ET00057686,ALGD
0,Kaala,ET00057686,ALMO
1,Jurassic World: Fallen Kingdom,ET00058799,ALMO
2,Veere Di Wedding,ET00042975,ALMO
3,Parmanu: The Story of Pokhran,ET00058781,ALMO
0,Kaala,ET00057686,ADAM
0,Kaala,ET00057686,AMAP
1,Mahanati,ET00054544,AMAP
2,Ammammagarillu,ET00070902,AMAP
3,Bharat Ane Nenu,ET00059033,AMAP
4,Rajugadu,ET00075146,AMAP
0,Veer - Vivegam,ET00076132,AMLN
0,Carry On Jatta 2 ,ET00020972,AMB
1,Veere Di Wedding,ET00042975,AMB
2,Jurassic World: Fallen Kingdom,ET00058799,AMB
3,Race 3,ET00063107,AMB
4,Kaala,ET00057686,AMB
0,Veere Di Wedding,ET00042975,AMBI
1,Jurassic World: Fallen Kingdom,ET00058799,AMBI
2,Kaala,ET00057686,AMBI
3,Hogi Pyar Ki Jeet (Bhojpuri),ET00047740,AMBI
0,Kaala,ET00057686,AMBR
0,Parmanu: The Story of Pokhran,ET00058781,AMGN
0,Jurassic World: Fallen Kingdom,ET00058799,AMRA
1,Veere Di Wedding,ET00042975,AMRA
2,Parmanu: The Story of Pokhran,ET00058781,AMRA
3,Kaala,ET00057686,AMRA
4,Farzand,ET00072484,AMRA
5,AA BB KK,ET00076165,AMRA
6,Trushart ,ET00077180,AMRA
7,Race 3,ET00063107,AMRA
8,Pani Bani ,ET00077245,AMRA
0,Carry On Jatta 2 ,ET00020972,AMRI
1,Jurassic World: Fallen Kingdom,ET00058799,AMRI
2,Veere Di Wedding,ET00042975,AMRI
3,Parmanu: The Story of Pokhran,ET00058781,AMRI
4,Race 3,ET00063107,AMRI
5,Kaala,ET00057686,AMRI
0,Mahanati,ET00054544,ANKP
1,Rajugadu,ET00075146,ANKP
2,Kaala,ET00057686,ANKP
3,Abhimanyudu,ET00068740,ANKP
4,Ammammagarillu,ET00070902,ANKP
5,Jurassic World: Fallen Kingdom,ET00058799,ANKP
6,Nela Ticket,ET00071700,ANKP
7,Rangasthalam,ET00058961,ANKP
0,Jurassic World: Fallen Kingdom,ET00058799,AND
1,Parmanu: The Story of Pokhran,ET00058781,AND
2,Veere Di Wedding,ET00042975,AND
3,Kaala,ET00057686,AND
4,Vandha Villas,ET00066887,AND
5,Raazi,ET00059201,AND
6,Avengers: Infinity War,ET00073462,AND
0,Kaala,ET00057686,ANTT
0,Kaala,ET00057686,ANAN
0,Jurassic World: Fallen Kingdom,ET00058799,ANHL
1,Kaala,ET00057686,ANHL
0,Kaala,ET00057686,ANEK
0,Sreehalli,ET00061494,ANDM
0,Jurassic World: Fallen Kingdom,ET00058799,ANGA
1,Kaala,ET00057686,ANGA
2,Aravindante Athidhikal,ET00073895,ANGA
3,Ee.Ma.Yau,ET00064076,ANGA
4,B. Tech,ET00074103,ANGA
0,Kaala,ET00057686,ANGR
1,Ammammagarillu,ET00070902,ANGR
0,Jurassic World: Fallen Kingdom,ET00058799,ANGL
1,Kaala,ET00057686,ANGL
0,Parmanu: The Story of Pokhran,ET00058781,ANJA
0,Jurassic World: Fallen Kingdom,ET00058799,ANJR
1,Veere Di Wedding,ET00042975,ANJR
2,Kaala,ET00057686,ANJR
0,Krina,ET00076854,ANKV
0,Raambo 2,ET00075633,ANGI
0,Uma,ET00063261,AMBH
1,Chalbaaz,ET00073719,AMBH
0,Kaala,ET00057686,ARNT
0,Kaala,ET00057686,ARIY
0,Shathaya Gathaya,ET00076087,ARGU
1,Kaanoorayana,ET00074263,ARGU
0,Ammammagarillu,ET00070902,ARMO
0,Kaala,ET00057686,ARNI
1,Irumbuthirai,ET00068334,ARNI
0,Krishnarjuna Yuddham,ET00059786,ARSI
1,Raambo 2,ET00075633,ARSI
0,Jurassic World: Fallen Kingdom,ET00058799,ASANSOL
1,Parmanu: The Story of Pokhran,ET00058781,ASANSOL
2,Uma,ET00063261,ASANSOL
3,Veere Di Wedding,ET00042975,ASANSOL
4,Raazi,ET00059201,ASANSOL
5,Haami,ET00071832,ASANSOL
6,Kaala,ET00057686,ASANSOL
7,Racket,ET00076181,ASANSOL
8,Ami Toke Valobashi,ET00076725,ASANSOL
0,Kaala,ET00057686,AKMP
1,Race 3,ET00063107,AKMP
0,Mahanati,ET00054544,ASWA
0,Abhimanyudu,ET00068740,ATLI
1,Kaala,ET00057686,ATLI
2,Ammammagarillu,ET00070902,ATLI
0,Jurassic World: Fallen Kingdom,ET00058799,AURA
1,Farzand,ET00072484,AURA
2,Kaala,ET00057686,AURA
3,Parmanu: The Story of Pokhran,ET00058781,AURA
4,Raazi,ET00059201,AURA
5,Veere Di Wedding,ET00042975,AURA
6,Bucket List,ET00069206,AURA
7,AA BB KK,ET00076165,AURA
8,Pani Bani ,ET00077245,AURA
9,Race 3,ET00063107,AURA
10,Lagi Toh Chhagi,ET00075511,AURA
0,Enga Veettu Pillai (1965),ET00070052,AVII
1,Kaala,ET00057686,AVII
0,Kaala,ET00057686,AZMG
0,Raa Raa,ET00071262,BAMA
0,Kaala,ET00057686,BADN
0,Carry On Jatta 2 ,ET00020972,BADD
1,Kaala,ET00057686,BADD
2,Veere Di Wedding,ET00042975,BADD
0,Krina,ET00076854,BADA
0,Raazi,ET00059201,BADR
0,Kaala,ET00057686,BAGA
0,Kaala,ET00057686,BBHA
0,Jurassic World: Fallen Kingdom,ET00058799,BAHD
1,Parmanu: The Story of Pokhran,ET00058781,BAHD
2,Veere Di Wedding,ET00042975,BAHD
3,Kaala,ET00057686,BAHD
0,Veere Di Wedding,ET00042975,BHRH
0,Kaala,ET00057686,BAID
0,Kaala,ET00057686,BIAH
1,Race 3,ET00063107,BIAH
0,Kaala,ET00057686,BKTH
0,Naa Peru Surya Naa Illu India,ET00055830,BAND
0,Baaghi 2,ET00053840,BART
0,Jurassic World: Fallen Kingdom,ET00058799,BLGT
1,Parmanu: The Story of Pokhran,ET00058781,BLGT
2,Kaala,ET00057686,BLGT
3,Veere Di Wedding,ET00042975,BLGT
0,Parmanu: The Story of Pokhran,ET00058781,BALG
1,Kaala,ET00057686,BALG
0,Jurassic World: Fallen Kingdom,ET00058799,BLSR
1,Race 3,ET00063107,BLSR
2,Kaala,ET00057686,BLSR
3,4 Idiots ,ET00077361,BLSR
0,Kaala,ET00057686,BALD
0,Suhaag,ET00001347,BALO
0,Kaala,ET00057686,BLUR
0,Tor Bina,ET00076783,BALU
1,Kaala,ET00057686,BALU
0,Carry On Jatta 2 ,ET00020972,BNGA
1,Rubb Rakha,ET00076187,BNGA
0,Raambo 2,ET00075633,BAGT
0,Sundargarh Ra Salman Khan,ET00077327,BANK
0,Jurassic World: Fallen Kingdom,ET00058799,BANS
1,Kaala,ET00057686,BANS
2,Veere Di Wedding,ET00042975,BANS
3,Race 3,ET00063107,BANS
0,Kaala,ET00057686,BAPA
1,Rangasthalam,ET00058961,BAPA
0,Dashing Detective,ET00074486,BARK
0,Farzand,ET00072484,BARA
1,Kaala,ET00057686,BARA
2,Jurassic World: Fallen Kingdom,ET00058799,BARA
3,Veere Di Wedding,ET00042975,BARA
4,Parmanu: The Story of Pokhran,ET00058781,BARA
5,AA BB KK,ET00076165,BARA
6,Lagi Toh Chhagi,ET00075511,BARA
0,Kaala,ET00057686,BARN
0,Veere Di Wedding,ET00042975,BARE
1,Jurassic World: Fallen Kingdom,ET00058799,BARE
2,Parmanu: The Story of Pokhran,ET00058781,BARE
3,Raazi,ET00059201,BARE
4,Carry On Jatta 2 ,ET00020972,BARE
5,Kaala,ET00057686,BARE
6,Race 3,ET00063107,BARE
0,Kaala,ET00057686,BEJA
0,Jurassic World: Fallen Kingdom,ET00058799,BARG
1,Kaala,ET00057686,BARG
2,Race 3,ET00063107,BARG
0,Jurassic World: Fallen Kingdom,ET00058799,BARI
1,Kaala,ET00057686,BARI
0,Kaala,ET00057686,BARM
0,Carry On Jatta 2 ,ET00020972,BAR
1,Jurassic World: Fallen Kingdom,ET00058799,BAR
2,Veere Di Wedding,ET00042975,BAR
3,Kaala,ET00057686,BAR
0,Kaala,ET00057686,BRWN
0,Carry On Jatta 2 ,ET00020972,BHAT
1,Veere Di Wedding,ET00042975,BHAT
2,Jurassic World: Fallen Kingdom,ET00058799,BHAT
3,Kaala,ET00057686,BHAT
4,Race 3,ET00063107,BHAT
0,Kaala,ET00057686,BTGD
0,Jurassic World: Fallen Kingdom,ET00058799,BEAW
1,Veere Di Wedding,ET00042975,BEAW
2,Kaala,ET00057686,BEAW
0,Neerdose,ET00022668,BLVD
0,Kaala,ET00057686,BELL
1,Ammammagarillu,ET00070902,BELL
0,Mahanati,ET00054544,BLRY
1,Rangasthalam,ET00058961,BLRY
2,Veere Di Wedding,ET00042975,BLRY
3,Nela Ticket,ET00071700,BLRY
4,Race 3,ET00063107,BLRY
0,Raambo 2,ET00075633,BELU
0,Mai Phir Aaungi ,ET00074345,BRAC
0,Jurassic World: Fallen Kingdom,ET00058799,BEHA
1,Uma,ET00063261,BEHA
2,Haami,ET00071832,BEHA
3,Veere Di Wedding,ET00042975,BEHA
4,Kaala,ET00057686,BEHA
0,Jurassic World: Fallen Kingdom,ET00058799,BERP
1,Kaala,ET00057686,BERP
2,Parmanu: The Story of Pokhran,ET00058781,BERP
3,Sundargarh Ra Salman Khan,ET00077327,BERP
4,4 Idiots ,ET00077361,BERP
5,Race 3,ET00063107,BERP
0,Jurassic World: Fallen Kingdom,ET00058799,BHDR
0,Kaala,ET00057686,BDVT
1,Raambo 2,ET00075633,BDVT
2,Mahanati,ET00054544,BDVT
0,Kaala,ET00057686,BHAN
0,Kaala,ET00057686,BHAA
0,Johnny Johnny Yes Papa,ET00072957,BASA
0,Jurassic World: Fallen Kingdom,ET00058799,BHAR
1,Kaala,ET00057686,BHAR
2,Parmanu: The Story of Pokhran,ET00058781,BHAR
3,Veere Di Wedding,ET00042975,BHAR
0,Jurassic World: Fallen Kingdom,ET00058799,BTAP
1,Kaala,ET00057686,BTAP
2,Veere Di Wedding,ET00042975,BTAP
0,Bharat Ane Nenu,ET00059033,BAKL
1,Kaala,ET00057686,BAKL
0,Kaala,ET00057686,BATT
0,Jurassic World: Fallen Kingdom,ET00058799,BHNG
1,Kaala,ET00057686,BHNG
